Priority,Type,When in Trip,Name / Change,Why,Action / Notes,Latitude,Longitude
,,,,,,
=== MISSING STOPS — HIGH IMPACT ===,,,,,,
,,,,,,
HIGH,Add New Stops,Day 4 or 5 (already sleeping at Cathedral Valley Inn),Temple of the Sun — Cathedral Valley,A 400-foot isolated red sandstone monolith rising from a flat plain in Capitol Reef's remote north district. Almost no crowds. Arguably the most spectacular thing in the entire region that almost no tourists see.,She is already sleeping 3 nights at Cathedral Valley Inn — she is literally at the doorstep. Access via Hartnet Road from Hwy 24 near Caineville. Dirt road — passable when dry. 4WD helpful but not required.,38.298,-111.122
HIGH,Add New Stops,Day 4 or 5 (already sleeping at Cathedral Valley Inn),Temple of the Moon — Cathedral Valley,The companion formation to Temple of the Sun — visit both in the same morning. Same access road.,Same access as Temple of the Sun. Both formations together take about 2 hours total including the drive in.,38.297,-111.120
HIGH,Add New Stops,Day 4 or 5 (already sleeping at Cathedral Valley Inn),Gypsum Sinkhole — Cathedral Valley,"A massive sinkhole (100 ft wide 60 ft deep) in the middle of the flat valley floor. Very unusual and eerie geology. Located on the same loop road as the Temples.",Same Hartnet Road loop as the Temples. All three (Temples + Sinkhole) can be done as a single 4-5 hour loop from the inn.,38.305,-111.100
,,,,,,
HIGH,Fill Empty Days,Day 19 (Zion — currently shows only Visitor Center),Angels Landing Trail,"One of the most famous hikes in the US. Chain-assisted final section to a narrow summit ridge with full canyon views. Strenuous — 5.4 miles round trip.","PERMIT REQUIRED — book immediately at recreation.gov (Zion National Park > Angels Landing Permit). Available by daily lottery. If permit unavailable: Observation Point is a comparable permit-free alternative (harder hike but better view).",37.269,-112.948
HIGH,Fill Empty Days,Day 19 or 20 (Zion — currently shows only Visitor Center),The Narrows — Temple of Sinawava,"Hike up the Virgin River through towering slot canyon walls — water up to waist in spring. Iconic and completely unique. No permit needed for the standard bottom-up day hike.","Rent neoprene socks/wetsuit in Springdale BEFORE entering — May water is very cold (~45F). Multiple rental shops on Springdale main street. Take the shuttle to Temple of Sinawava (last stop). Budget 4-6 hours.",37.298,-112.948
HIGH,Fill Empty Days,Day 20 (Zion — currently shows only Visitor Center),Emerald Pools Trails,"Three tiered pools with waterfalls through lush canyon vegetation. A beautiful lighter hiking option — ideal as a second Zion day or recovery hike.","Lower Pool: Easy 0.6mi loop. Middle Pool: Moderate 1.0mi. Upper Pool: Moderate-Strenuous 1.2mi. Take shuttle to The Grotto stop. Great for photography.",37.255,-112.957
MEDIUM,Fill Empty Days,Day 19 (arriving at Zion via Hwy 9),Canyon Overlook Trail,"Short 1-mile trail to a sweeping viewpoint over Zion Canyon. Great warm-up hike on arrival. No shuttle needed.",Trailhead at the east side of the Zion-Mt Carmel Tunnel on Hwy 9. Park in the pullout east of the tunnel. About 1 hour round trip.,37.220,-112.943
,,,,,,
=== SLEEPING CHANGES ===,,,,,,
,,,,,,
HIGH,Sleeping Change,Days 19-20 (Zion),Move hotel to Springdale instead of St. George for at least 1 night,"St. George hotel is 45+ minutes from the Zion shuttle stop. A Springdale hotel is 5 minutes away — enables early morning start for Angels Landing (must start by 7am) and full-day Narrows.","Many options: Hampton Inn Springdale (37.199 -112.987) — easy to book. Zion Lodge (in the park) — books out far in advance. This is especially important if she gets the Angels Landing permit.",37.199,-112.988
,,,,,,
MEDIUM,Sleeping Change,Between Grand Canyon and Page (Day 14-15 area),Add one night at Monument Valley — The View Hotel,"The iconic Mittens photograph of Monument Valley REQUIRES golden hour light (sunrise or sunset). Arriving mid-day gives flat harsh light and a completely different experience.","The View Hotel is run by the Navajo Nation and sits right on the canyon rim. Book far in advance. If she cannot stay overnight — at minimum plan arrival by 6pm for golden hour light.",36.999,-110.113
,,,,,,
=== DATA ERRORS IN CURRENT TRIP — FIX OR REMOVE ===,,,,,,
,,,,,,
FIX,Data Error,Day 5 (Bentonite Hills),Remove: Cosmic Ash Hills Walk Utah,No such established trail exists. Coordinates unavailable. This is a planning error.,Remove from itinerary. The Factory Butte / Caineville area walk is covered by Factory Butte Road and Bentonite Hills area.,,(remove)
FIX,Data Error,Day 5 (Bentonite Hills),Fix: Rainbow Hills Loop Utah — coordinates are 80 miles off,"The coordinates point near St. George — completely wrong. Name is also not an established trail. Verify what she read before arriving.","If she found this in a blog post — ask her to find the article again and get exact directions. The colored clay hills near Caineville on Hwy 24 are the likely reference (the Bentonite Hills area). No formal trail needed.",,(verify source)
FIX,Data Error,Day 5 (Bentonite Hills),Fix: South of Hanksville — needs coordinates,"Listed as error with no coordinates. This is the scenic badland views along Hwy 24 south of Hanksville (Factory Butte / Caineville moonscape area).","This is a drive-by scenic area — not a formal GPS stop. Add coordinates to the road itself so the app doesn't show an error. See Drive-by Classification sheet for full context.",38.370,-110.660
FIX,Data Error,Day 6 (Goblin Valley),Fix: Carmel Canyon Loop Utah — coordinates point to St. George,"Coordinates are ~170 miles off — pointing to St. George instead of Goblin Valley. This will send her completely off-route if she follows navigation.",Correct coordinates for Carmel Canyon loop in Goblin Valley are approximately (38.570 -110.710),38.570,-110.710
FIX,Data Error,Day 21 (Valley of Fire),Remove: Petrified Logs Kanarra Falls,This place does not exist. Petrified wood is at Escalante Petrified Forest State Park — not at Kanarra Falls. This will confuse navigation.,Remove entirely. She is already visiting Valley of Fire State Park which has its own geology.,,(remove)
