Day,Date,Stop Name,Current Category in App,REAL Classification,Time at Stop,What to Actually Do There,Notes for Mom
,,,,,,
=== DAY 2 — ARCHES NATIONAL PARK ===,,,,,,
2,May 6,La Sal Mountains Viewpoint,Park Sight 👀,DRIVE-BY — look from car window,0 min,Look east while driving on the main Arches park road. No need to stop or park.,"The La Sal Mountains are always visible to the east. This is NOT a separate destination — it's just a view reminder while driving. Mom may have listed this as a stop but it is just scenery from the car."
2,May 6,Courthouse Towers Viewpoint,Park Sight 👀,QUICK PULLOUT — park + walk to edge,5–10 min,Pull into the roadside pullout. Look at the towers. Take photos. Return to car.,"Different from Park Avenue Trail (which is a real hike nearby). The viewpoint is just the roadside look at the towers — interesting but brief. The actual hike is Park Avenue."
2,May 6,Park Avenue Trail,Park Sight 🥾,REAL STOP — hike,60–90 min,2-mile one-way trail through a canyon of sandstone fins (like walking between skyscrapers). Flat and easy walk.,One of the best easy hikes in Arches. Highly recommended.
2,May 6,Balanced Rock,Park Sight 🪨,REAL STOP — short walk,20–30 min,0.3 mile paved loop around a giant balancing rock. Short but worthwhile.,Family-friendly. Good photo stop.
2,May 6,Fiery Furnace Viewpoint,Park Sight 👀,QUICK PULLOUT — preview of tomorrow's hike,10–15 min,Walk to the viewpoint fence. Look into the Fiery Furnace maze from above — this is the preview.,"Self-guided permit is BOOKED for the next morning (Rec.gov #0816993222-1, May 7, 8:00 AM, 2 adults — see Day 3 row). The viewpoint shows only the tops of the fins; tomorrow she walks INTO the maze."
2,May 6,Turret Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,Short 0.5mi walk from Windows parking area to Turret Arch. Worth it.,Easy flat walk on sandy trail.
2,May 6,Windows Primitive Loop Trail,Park Sight 🥾,REAL STOP — hike,45–60 min,1.6mi primitive (sandy) loop behind The Windows formations. One of the best walks in Arches.,Do this loop for a different perspective than the paved Windows trail. Gets you closer to the rock.
2,May 6,Double Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,0.4mi walk from Windows parking area. Two arches joined at a common base — dramatic to walk under.,Easy walk. The arch above your head is enormous.
2,May 6,Delicate Arch Trail,Park Sight 🌉,REAL STOP — strenuous hike,2.5–3 hours,3.2mi round trip with 480ft elevation gain on slickrock. Arrives at the iconic freestanding arch.,"The most famous arch in the world. Strenuous. Plan for early morning (before 9am in May to avoid heat). Bring plenty of water."
2,May 6,Fiery Furnace Viewpoint,Park Sight 👀,QUICK PULLOUT,10 min,Roadside look into the formation maze.,See note above — entry requires separate permit.
2,May 6,Sand Dune Arch,Park Sight 🌉,REAL STOP — short walk,20 min,Short 0.4mi walk through sand to a small sheltered arch. Cool and shaded.,Easy family stop. Kids love the sand.
2,May 6,Broken Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,0.4mi walk across slickrock to a large arch.,Near Sand Dune Arch — often combined in one stop.
